agent_module,config,task_id,baseline_passed,optimized_passed
bench.agents.research_planner,ContextCompress-only,hotpot_5a85b2d95542997b5ce40028,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5a87ab905542996e4f3088c1,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5a7166395542994082a3e814,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5ab56e32554299637185c594,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5ae0d4c9554299603e418468,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5adddccd5542997dc7907069,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5abf63f15542997ec76fd3ea,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5ab2d3df554299194fa9352c,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5a760ab65542994ccc918697,1,0
bench.agents.research_planner,ContextCompress-only,hotpot_5ab859a955429934fafe6d7b,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5add61d65542995b365fab21,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5a8b20335542996c9b8d5fb3,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5a8361b65542992ef85e22a0,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5ae7ba7a5542993210983f12,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5a88658955429938390d3f47,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5a8e0a005542995085b373a1,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5ae738f75542991bbc9761c4,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5ae73c065542991e8301cc18,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5ac1c6805542994ab5c67e11,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5ab4e3065542990594ba9cb4,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5ae748d1554299572ea547b0,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5ac547525542993e66e822a3,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5a7625c7554299109176e668,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5a790d8f554299029c4b5eec,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5aba65a055429939ce03dcd2,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5a75f79555429976ec32bcca,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5a8c65a1554299585d9e3680,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5ae82ae555429952e35eaa71,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5a85cead5542991dd0999ea9,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5ab7f97a5542991d322237ef,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5ae4563e5542996836b02c7f,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5a83a532554299334474606f,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5a88e605554299206df2b39c,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5a8ee4315542990e94052ba7,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5a8cb288554299585d9e3726,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5abd0d635542992ac4f381b8,0,1
bench.agents.research_planner,ContextCompress-only,hotpot_5ae7385d5542992ae0d163da,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5a8799c55542996e4f308877,0,1
bench.agents.research_planner,ContextCompress-only,hotpot_5a8f69b55542997ba9cb324f,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5a8488f45542992a431d1a47,0,1
bench.agents.research_planner,ContextCompress-only,hotpot_5abe689a55429976d4830b16,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5ae0d52e554299603e418469,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5ab25004554299722f9b4cd7,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5ac056385542997d64295a08,1,1
bench.agents.research_planner,ContextCompress-only,hotpot_5a7252db5542990c210a4104,0,1
bench.agents.research_planner,ContextCompress-only,hotpot_5abd6bf055429933744ab7c8,0,0
bench.agents.research_planner,ContextCompress-only,hotpot_5ae1f5a15542997f29b3c1b5,1,1
